"ensembl" "SUM149_JQ1_12H_R2" "SUM149_JQ1_12H_R1" "SUM149_DMSO_12H_R2" "SUM149_DMSO_12H_R1"
"ENSG00000076864" 409 427 428 702
"ENSG00000090686" 3828 3645 3651 5184
"ENSG00000231978" 1 1 0 0
"ENSG00000187942" 6 4 3 6
"ENSG00000142798" 2583 2562 2825 4587
"ENSG00000232037" 1 1 0 0
"ENSG00000283234" 1 3 0 0
"ENSG00000219073" 3 1 0 0
"ENSG00000273610" 0 0 0 0
"ENSG00000201919" 0 0 0 0
"ENSG00000142789" 3 1 0 0
"ENSG00000278124" 0 0 0 0
"ENSG00000201273" 0 0 0 0
"ENSG00000228397" 2 7 5 2
"ENSG00000218510" 962 809 791 1167
"ENSG00000070831" 4405 4099 3428 4770
